par_names,mean,se_mean,sd,2.5%,25%,50%,75%,97.5%,n_eff,Rhat,stream
log_mean_redds_per_spawner,-0.3393988561155578,9.03703160477104e-4,0.22036795938468273,-0.7725810992767885,-0.48314563773086905,-0.33972475219363585,-0.197230556891373,0.10063877248804923,59462.7921179387,0.999974439517269,clear creek
tau_redds_per_spawner,0.9369681621467297,8.986996904718417e-4,0.18015815428712242,0.6604207166993397,0.8094592081276343,0.9121759963400082,1.0345173814027713,1.3628520615992854,40186.35935753681,1.000034128234067,clear creek
b1_survival,0.4330457886406286,0.002626814724838022,0.2243261464001557,-0.011473148576300496,0.28762030232102787,0.4323241878305947,0.5784915003090251,0.8731833782796169,7292.910897366663,1.000171612990409,clear creek
log_redds_per_spawner[1],-0.8237506135109566,0.007845416286295426,0.6834363077972769,-2.1741960606399124,-1.2651182416247706,-0.8205841201235498,-0.37849089445853906,0.5276963661170323,7588.642764876662,1.000129085511414,clear creek
log_redds_per_spawner[2],-0.708829221643544,0.0017152440584265619,0.20996821933536897,-1.1304816158746742,-0.8476161079826675,-0.7062852119971067,-0.5661749932039959,-0.30290250341169617,14984.949478991222,1.0000430026798828,clear creek
log_redds_per_spawner[3],-0.1448225526317785,9.551811434208849e-4,0.13842721452033563,-0.4214878428029883,-0.23684541895295064,-0.1432259432243364,-0.05030906529983739,0.12032846632092258,21002.52349990667,1.0000166386225764,clear creek
log_redds_per_spawner[4],-0.7405598692769632,0.004154212184661694,0.36878177450899413,-1.4674127557311851,-0.9833015253684162,-0.7396749295111263,-0.49997596193638943,-0.016305353309661128,7880.641094424751,1.0001750639997193,clear creek
log_redds_per_spawner[5],-0.8456154609186661,0.003222590307793579,0.3019433066913818,-1.4450737807818375,-1.0440720412485498,-0.8442717498090773,-0.6448671044889305,-0.2582127264028617,8778.910481383748,1.000170823821121,clear creek
log_redds_per_spawner[6],-0.5893843935556042,0.003257414541638782,0.2998932394694225,-1.1862151852529363,-0.7855512590293716,-0.5884628129826116,-0.3904754653077409,-0.001726091201232049,8475.928596061167,1.0001466499907112,clear creek
log_redds_per_spawner[7],0.1407519733671808,0.001281981357476732,0.13981408825289218,-0.13582086651257,0.047186132203538345,0.1414333271083728,0.23424717083943336,0.41319119500750734,11894.28801163652,1.000101423947828,clear creek
log_redds_per_spawner[8],0.727500446137441,9.925251603622488e-4,0.17259306722138706,0.38140291638435014,0.6128121240410406,0.7297798642701528,0.8458108434758655,1.0583122696209055,30238.736732919613,0.9999950583710892,clear creek
log_redds_per_spawner[9],1.3526318793961778,0.0015674138151292858,0.1991489802258062,0.9595354177914672,1.2200657888357147,1.353341749160872,1.4854867784524035,1.7417318368157884,16143.170479452821,1.0000690159730388,clear creek
log_redds_per_spawner[10],-0.6167647665237356,7.676199387786538e-4,0.1627668892124171,-0.9487618827296959,-0.7238725127170618,-0.612308780889836,-0.5043862134798167,-0.3114546648276917,44961.380031426954,1.0000442895258599,clear creek
log_redds_per_spawner[11],-1.4119105322816212,0.001087214005738356,0.1214217271716643,-1.654450801151854,-1.4920486056444753,-1.4111291807549882,-1.3303717624774514,-1.1756151459050164,12472.764877274376,1.00009133234168,clear creek
log_redds_per_spawner[12],0.07054329295202226,0.0012636244589268157,0.1467517263926261,-0.21897712565917127,-0.02681662981877717,0.07123758351872045,0.16946079038071032,0.35658768061574747,13487.466867449552,1.0000272591678374,clear creek
log_redds_per_spawner[13],0.38002294947496795,0.0014574834541198247,0.17744737179203557,0.02609035066623805,0.26252887769046174,0.3821655824153303,0.4991794710750023,0.7219156665883261,14822.855544748645,1.0000608028081661,clear creek
log_redds_per_spawner[14],-0.22689050656661772,0.002125556400913168,0.24249125783151354,-0.708548390598895,-0.3875599070581287,-0.22445421953183994,-0.06428482073801176,0.24474555744743035,13015.08191684539,1.0000314234752028,clear creek
log_redds_per_spawner[15],-0.1902178636946278,0.001620000039718807,0.26440801331326597,-0.7278996597530044,-0.36530068319066095,-0.18327605148308124,-0.009623611897724892,0.3111252250545367,26639.077151392212,0.9999694354356797,clear creek
log_redds_per_spawner[16],0.14335640215808554,0.0013897236710176575,0.1801461249556849,-0.2146037298658742,0.023836773406387082,0.14554929414385004,0.26539731707205455,0.4926712416915468,16803.236482859338,1.000061469718375,clear creek
log_redds_per_spawner[17],0.40696877852463204,9.010888272559097e-4,0.11912216914218003,0.17148879635154549,0.32709519196310854,0.40747737841683845,0.4879802654200407,0.6383761387937915,17476.31952434883,1.000064754749139,clear creek
log_redds_per_spawner[18],-1.008374385617319,9.265340530624414e-4,0.1471905958622938,-1.3050916664040613,-1.105105916297105,-1.0060991116926359,-0.9081681051732264,-0.7270040525308777,25236.978374068887,1.000017431133865,clear creek
log_redds_per_spawner[19],-2.3737021865530856,8.306141302699894e-4,0.0977973499225109,-2.567644090369141,-2.4382205121782605,-2.372322069903798,-2.308278690792614,-2.1842943157050696,13862.946372586806,1.0000209820870465,clear creek
survival_rate[1],1.6644195398746975,0.0010518937361665604,0.25785036749095075,1.1971416714761913,1.4849661216587169,1.651321665125463,1.8307592337683378,2.2038682246656314,60088.55654486179,1.000031153549396,clear creek
survival_rate[2],0.3819426442139624,1.8438412061710016e-4,0.06148919546890111,0.2705270132984524,0.3391728028982557,0.37869190215380477,0.42079881305562594,0.5121229559071652,111211.72797153125,0.9999546880955688,clear creek
survival_rate[3],0.99685590338503,3.892873965775099e-4,0.11914519419064516,0.7765202870427098,0.9136712615664405,0.9916613127949323,1.0751773852299886,1.2437809318266877,93672.55628625928,0.9999601625963555,clear creek
survival_rate[4],0.9554156432754299,4.3507532725778434e-4,0.11022453284775556,0.7520791738756533,0.8793441760179037,0.9510408440956397,1.0273966089121025,1.1840177931665579,64184.12466134048,1.0000051346252712,clear creek
survival_rate[5],0.25603936291304563,1.2316585839145696e-4,0.03579723401741498,0.19040463616567532,0.2311114279602758,0.25459538011177174,0.27901121858493777,0.3304438318490248,84473.06761958555,1.0000068607745187,clear creek
survival_rate[6],0.32652535412671063,1.4662224832810404e-4,0.039900555449169144,0.253074914173256,0.29887657584075633,0.324850423665296,0.3525451893753015,0.4087773348102433,74055.63895900302,0.9999792047664661,clear creek
survival_rate[7],0.944995897284444,2.596074370212397e-4,0.08831177225727159,0.7800664500353206,0.8840199366020072,0.9421738294627559,1.0031733901203825,1.1256316630963046,115718.53890215755,0.9999637851820276,clear creek
survival_rate[8],1.838720694618572,0.001006544682188958,0.292017267924066,1.3130490562417763,1.6332755697120844,1.822115287564309,2.025118252389911,2.4564646276643156,84168.76395587856,1.0000101027290196,clear creek
survival_rate[9],4.98752490591275,0.002425275348939759,0.7848620730455164,3.5775890884002846,4.438888833843013,4.945339779627599,5.490612539610264,6.638642910584692,104728.42716333778,0.9999672223842889,clear creek
survival_rate[10],0.5940156568119264,3.278294691597747e-4,0.09274697778012302,0.4252684790264039,0.5288121391043287,0.5896981812658667,0.6543443798589074,0.7879767963932978,80039.34990556465,0.9999813395015381,clear creek
survival_rate[11],0.20679062974502257,5.334604956009605e-5,0.017672836745487645,0.1734691137613322,0.19462870278209185,0.2063432070488863,0.2183308110685544,0.24290734306958592,109750.87795319049,0.9999814953632314,clear creek
